sample_id	timepoint_min	replicate	srr_accession
t-2_rep1	-2	1	PLACEHOLDER_FILL_FROM_RUN_SELECTOR
t-2_rep2	-2	2	PLACEHOLDER_FILL_FROM_RUN_SELECTOR
t0_rep1	0	1	PLACEHOLDER_FILL_FROM_RUN_SELECTOR
t0_rep2	0	2	PLACEHOLDER_FILL_FROM_RUN_SELECTOR
t2_rep1	2	1	PLACEHOLDER_FILL_FROM_RUN_SELECTOR
t2_rep2	2	2	PLACEHOLDER_FILL_FROM_RUN_SELECTOR
t4_rep1	4	1	PLACEHOLDER_FILL_FROM_RUN_SELECTOR
t4_rep2	4	2	PLACEHOLDER_FILL_FROM_RUN_SELECTOR
t6_rep1	6	1	PLACEHOLDER_FILL_FROM_RUN_SELECTOR
t6_rep2	6	2	PLACEHOLDER_FILL_FROM_RUN_SELECTOR
t8_rep1	8	1	PLACEHOLDER_FILL_FROM_RUN_SELECTOR
t8_rep2	8	2	PLACEHOLDER_FILL_FROM_RUN_SELECTOR
t10_rep1	10	1	PLACEHOLDER_FILL_FROM_RUN_SELECTOR
t10_rep2	10	2	PLACEHOLDER_FILL_FROM_RUN_SELECTOR
